"binomial","fb_name"
"Amblycirrhitus pinos","Amblycirrhitus pinos"
"Amblyeleotris fasciata","Amblyeleotris fasciata"
"Amblyeleotris guttata","Amblyeleotris guttata"
"Amblyeleotris gymnocephala","Amblyeleotris gymnocephala"
"Amblyeleotris japonica","Amblyeleotris japonica"
"Amblyeleotris periophthalma","Amblyeleotris periophthalma"
"Amblyeleotris randalli","Amblyeleotris randalli"
"Amblyeleotris steinitzi","Amblyeleotris steinitzi"
"Amblyeleotris sungami","Amblyeleotris sungami"
"Amblyeleotris wheeleri","Amblyeleotris wheeleri"
"Amblygaster sirm","Amblygaster sirm"
"Amblyglyphidodon aureus","Amblyglyphidodon aureus"
"Amblyglyphidodon batunai","Amblyglyphidodon batunai"
"Amblyglyphidodon curacao","Amblyglyphidodon curacao"
"Amblyglyphidodon flavilatus","Amblyglyphidodon flavilatus"
"Amblyglyphidodon indicus","Amblyglyphidodon indicus"
"Amblyglyphidodon leucogaster","Amblyglyphidodon leucogaster"
"Amblyglyphidodon melanopterus","Amblyglyphidodon melanopterus"
"Amblyglyphidodon orbicularis","Amblyglyphidodon orbicularis"
"Amblyglyphidodon ternatensis","Amblyglyphidodon ternatensis"
"Amblygobius albimaculatus","Amblygobius albimaculatus"
"Amblygobius buanensis","Amblygobius buanensis"
"Amblygobius bynoensis","Amblygobius bynoensis"
"Amblygobius decussatus","Amblygobius decussatus"
"Amblygobius nocturnus","Amblygobius nocturnus"
"Amblygobius phalaena","Amblygobius phalaena"
"Amblygobius semicinctus","Amblygobius semicinctus"
"Amblygobius sphynx","Amblygobius sphynx"
"Amblypomacentrus breviceps","Amblypomacentrus breviceps"
"Amblyraja georgiana","Amblyraja georgiana"
"Amblyraja hyperborea","Amblyraja hyperborea"
"Amblyrhynchotes honckenii","Amblyrhynchotes honckenii"
"Ammodytes americanus","Ammodytes americanus"
"Ammodytes marinus","Ammodytes marinus"
"Ammodytes personatus","Ammodytes personatus"
"Ammodytes tobianus","Ammodytes tobianus"
"Amphiarius phrygiatus","Amphiarius phrygiatus"
"Amphichaetodon howensis","Amphichaetodon howensis"
"Amphichthys cryptocentrus","Amphichthys cryptocentrus"
"Amphiprion akallopisos","Amphiprion akallopisos"
"Amphiprion akindynos","Amphiprion akindynos"
"Amphiprion allardi","Amphiprion allardi"
"Amphiprion bicinctus","Amphiprion bicinctus"
"Amphiprion chrysopterus","Amphiprion chrysopterus"
"Amphiprion clarkii","Amphiprion clarkii"
"Amphiprion ephippium","Amphiprion ephippium"
"Amphiprion frenatus","Amphiprion frenatus"
"Amphiprion fuscocaudatus","Amphiprion fuscocaudatus"
"Amphiprion latezonatus","Amphiprion latezonatus"
"Amphiprion leucokranos","Amphiprion leucokranos"
"Amphiprion mccullochi","Amphiprion mccullochi"
"Amphiprion melanopus","Amphiprion melanopus"
"Amphiprion nigripes","Amphiprion nigripes"
"Amphiprion ocellaris","Amphiprion ocellaris"
"Amphiprion percula","Amphiprion percula"
"Amphiprion perideraion","Amphiprion perideraion"
"Amphiprion polymnus","Amphiprion polymnus"
"Amphiprion rubrocinctus","Amphiprion rubrocinctus"
"Amphiprion sandaracinos","Amphiprion sandaracinos"
"Amphistichus koelzi","Amphistichus koelzi"
"Amsichthys knighti","Amsichthys knighti"
"Anacanthus barbatus","Anacanthus barbatus"
"Anampses caeruleopunctatus","Anampses caeruleopunctatus"
"Anampses chrysocephalus","Anampses chrysocephalus"
"Anampses cuvier","Anampses cuvier"
"Anampses elegans","Anampses elegans"
"Anampses femininus","Anampses femininus"
"Anampses geographicus","Anampses geographicus"
"Anampses lennardi","Anampses lennardi"
"Anampses lineatus","Anampses lineatus"
"Anampses melanurus","Anampses melanurus"
"Anampses meleagrides","Anampses meleagrides"
"Anampses neoguinaicus","Anampses neoguinaicus"
"Anampses twistii","Anampses twistii"
"Anarchias leucurus","Anarchias leucurus"
"Anarchias seychellensis","Anarchias seychellensis"
"Anarchias similis","Anarchias similis"
"Anarhichas denticulatus","Anarhichas denticulatus"
"Anarhichas lupus","Anarhichas lupus"
"Anarhichas minor","Anarhichas minor"
"Anarrhichthys ocellatus","Anarrhichthys ocellatus"
"Anchoa choerostoma","Anchoa choerostoma"
"Anchoa hepsetus","Anchoa hepsetus"
"Anchoa lyolepis","Anchoa lyolepis"
"Anchoa marinii","Anchoa marinii"
"Anchoa mitchilli","Anchoa mitchilli"
"Anchoa nasus","Anchoa nasus"
"Anchoa spinifer","Anchoa spinifer"
"Anguilla anguilla","Anguilla anguilla"
"Anguilla bicolor","Anguilla bicolor"
"Anguilla japonica","Anguilla japonica"
"Anguilla rostrata","Anguilla rostrata"
"Anisotremus caesius","Anisotremus caesius"
"Anisotremus davidsonii","Anisotremus davidsonii"
"Anisotremus interruptus","Anisotremus interruptus"
"Anisotremus scapularis","Anisotremus scapularis"
"Anisotremus surinamensis","Anisotremus surinamensis"
"Anisotremus taeniatus","Anisotremus taeniatus"
"Anisotremus virginicus","Anisotremus virginicus"
"Anodontostoma chacunda","Anodontostoma chacunda"
"Anomalops katoptron","Anomalops katoptron"
"Anoplocapros amygdaloides","Anoplocapros amygdaloides"
"Anoplocapros inermis","Anoplocapros inermis"
"Anoplocapros lenticularis","Anoplocapros lenticularis"
"Anoplopoma fimbria","Anoplopoma fimbria"
"Antennarius commerson","Antennarius commerson"
"Antennarius hispidus","Antennarius hispidus"
"Antennarius multiocellatus","Antennarius multiocellatus"
"Antennarius pauciradiatus","Antennarius pauciradiatus"
"Antennarius pictus","Antennarius pictus"
"Antennarius striatus","Antennarius striatus"
"Antennatus coccineus","Antennatus coccineus"
"Antennatus dorehensis","Antennatus dorehensis"
"Antennatus nummifer","Antennatus nummifer"
"Antennatus sanguineus","Antennatus sanguineus"
"Antennatus tuberosus","Antennatus tuberosus"
"Anthias anthias","Anthias anthias"
"Antimora rostrata","Antimora rostrata"
"Anyperodon leucogrammicus","Anyperodon leucogrammicus"
"Aphanopus carbo","Aphanopus carbo"
"Aphanopus intermedius","Aphanopus intermedius"
"Aphareus furca","Aphareus furca"
"Aphareus rutilans","Aphareus rutilans"
"Aphia minuta","Aphia minuta"
"Aploactisoma milesii","Aploactisoma milesii"
"Aplodactylus arctidens","Aplodactylus arctidens"
"Aplodactylus etheridgii","Aplodactylus etheridgii"
"Aplodactylus lophodon","Aplodactylus lophodon"
"Aplodactylus punctatus","Aplodactylus punctatus"
"Aplodactylus westralis","Aplodactylus westralis"
"Apogon atradorsatus","Apogon atradorsatus"
"Apogon atricaudus","Apogon atricaudus"
"Apogon aurolineatus","Apogon aurolineatus"
"Apogon binotatus","Apogon binotatus"
"Apogon campbelli","Apogon campbelli"
"Apogon caudicinctus","Apogon caudicinctus"
"Apogon coccineus","Apogon coccineus"
"Apogon crassiceps","Apogon crassiceps"
"Apogon dianthus","Apogon dianthus"
"Apogon doryssa","Apogon doryssa"
"Apogon dovii","Apogon dovii"
"Apogon erythrinus","Apogon erythrinus"
"Apogon imberbis","Apogon imberbis"
"Apogon lachneri","Apogon lachneri"
"Apogon maculatus","Apogon maculatus"
"Apogon pacificus","Apogon pacificus"
"Apogon phenax","Apogon phenax"
"Apogon planifrons","Apogon planifrons"
"Apogon pseudomaculatus","Apogon pseudomaculatus"
"Apogon quadrisquamatus","Apogon quadrisquamatus"
"Apogon retrosella","Apogon retrosella"
"Apogon seminigracaudus","Apogon seminigracaudus"
"Apogon semiornatus","Apogon semiornatus"
"Apogon talboti","Apogon talboti"
"Apogon townsendi","Apogon townsendi"
"Apogon unicolor","Apogon unicolor"
"Apogonichthyoides melas","Apogonichthyoides melas"
"Apogonichthyoides nigripinnis","Apogonichthyoides nigripinnis"
"Apogonichthyoides pseudotaeniatus","Apogonichthyoides pseudotaeniatus"
"Apogonichthyoides timorensis","Apogonichthyoides timorensis"
"Apogonichthys ocellatus","Apogonichthys ocellatus"
"Apogonichthys perdix","Apogonichthys perdix"
"Apolemichthys arcuatus","Apolemichthys arcuatus"
"Apolemichthys griffisi","Apolemichthys griffisi"
"Apolemichthys trimaculatus","Apolemichthys trimaculatus"
"Apolemichthys xanthopunctatus","Apolemichthys xanthopunctatus"
"Apolemichthys xanthotis","Apolemichthys xanthotis"
"Aporops bilinearis","Aporops bilinearis"
"Aprion virescens","Aprion virescens"
"Apsilus fuscus","Apsilus fuscus"
"Aptychotrema rostrata","Aptychotrema rostrata"
"Aracana aurita","Aracana aurita"
"Aracana ornata","Aracana ornata"
"Archamia bleekeri","Archamia bleekeri"
"Archosargus probatocephalus","Archosargus probatocephalus"
"Archosargus rhomboidalis","Archosargus rhomboidalis"
"Arctogadus glacialis","Arctogadus glacialis"
"Arctoscopus japonicus","Arctoscopus japonicus"
"Arenigobius frenatus","Arenigobius frenatus"
"Argentina silus","Argentina silus"
"Argentina sphyraena","Argentina sphyraena"
"Argyrops spinifer","Argyrops spinifer"
"Argyrosomus hololepidotus","Argyrosomus hololepidotus"
"Argyrosomus japonicus","Argyrosomus japonicus"
"Argyrosomus regius","Argyrosomus regius"
"Argyrozona argyrozona","Argyrozona argyrozona"
"Ariomma bondi","Ariomma bondi"
"Ariomma indicum","Ariomma indica"
"Ariopsis felis","Ariopsis felis"
"Ariosoma balearicum","Ariosoma balearicum"
"Ariosoma gilberti","Ariosoma gilberti"
"Ariosoma scheelei","Ariosoma scheelei"
"Arius maculatus","Arius maculatus"
"Arnoglossus bassensis","Arnoglossus bassensis"
"Arnoglossus laterna","Arnoglossus laterna"
"Arothron caeruleopunctatus","Arothron caeruleopunctatus"
"Arothron diadematus","Arothron diadematus"
"Arothron hispidus","Arothron hispidus"
"Arothron immaculatus","Arothron immaculatus"
"Arothron manilensis","Arothron manilensis"
"Arothron mappa","Arothron mappa"
"Arothron meleagris","Arothron meleagris"
"Arothron nigropunctatus","Arothron nigropunctatus"
"Arothron reticularis","Arothron reticularis"
"Arothron stellatus","Arothron stellatus"
"Arripis georgianus","Arripis georgiana"
"Arripis trutta","Arripis trutta"
"Arripis truttacea","Arripis truttacea"
"Arripis xylabion","Arripis xylabion"
"Artedidraco mirus","Artedidraco mirus"
"Artedius harringtoni","Artedius harringtoni"
"Aseraggodes melanostictus","Aseraggodes melanostictus"
"Aspasmogaster tasmaniensis","Aspasmogaster tasmaniensis"
"Aspidontus dussumieri","Aspidontus dussumieri"
"Aspidontus taeniatus","Aspidontus taeniatus"
"Aspidontus tractus","Aspidontus tractus"
"Aspistor quadriscutis","Aspistor quadriscutis"
"Assessor flavissimus","Assessor flavissimus"
"Assessor macneilli","Assessor macneilli"
"Assessor randalli","Assessor randalli"
"Assiculus punctatus","Assiculus punctatus"
"Asterorhombus intermedius","Asterorhombus intermedius"
"Asterropteryx atripes","Asterropteryx atripes"
"Asterropteryx ensifera","Asterropteryx ensifera"
"Asterropteryx semipunctata","Asterropteryx semipunctata"
"Asterropteryx spinosa","Asterropteryx spinosa"
"Asterropteryx striata","Asterropteryx striata"
"Astrapogon alutus","Astrapogon alutus"
"Astrapogon puncticulatus","Astrapogon puncticulatus"
"Astrapogon stellatus","Astrapogon stellatus"
"Astroscopus guttatus","Astroscopus guttatus"
"Astroscopus y-graecum","Astroscopus ygraecum"
"Astroscopus zephyreus","Astroscopus zephyreus"
"Asymbolus analis","Asymbolus analis"
"Atheresthes evermanni","Atheresthes evermanni"
"Atheresthes stomias","Atheresthes stomias"
"Atherina boyeri","Atherina boyeri"
"Atherina hepsetus","Atherina hepsetus"
"Atherina presbyter","Atherina presbyter"
"Atherinella eriarcha","Atherinella eriarcha"
"Atherinomorus endrachtensis","Atherinomorus endrachtensis"
"Atherinomorus lacunosus","Atherinomorus lacunosus"
"Atherinomorus stipes","Atherinomorus stipes"
"Atherinomorus vaigiensis","Atherinomorus vaigiensis"
"Atherion elymus","Atherion elymus"
"Atractoscion aequidens","Atractoscion aequidens"
"Atractoscion nobilis","Atractoscion nobilis"
"Atrobucca nibe","Atrobucca nibe"
"Atrosalarias holomelas","Atrosalarias holomelas"
"Atule mate","Atule mate"
"Atypichthys latus","Atypichthys latus"
"Atypichthys strigatus","Atypichthys strigatus"
"Auchenionchus variolosus","Auchenionchus variolosus"
"Aulacocephalus temminckii","Aulacocephalus temminckii"
"Aulohalaelurus labiosus","Aulohalaelurus labiosus"
"Aulorhynchus flavidus","Aulorhynchus flavidus"
"Aulostomus chinensis","Aulostomus chinensis"
"Aulostomus maculatus","Aulostomus maculatus"
"Aulostomus strigosus","Aulostomus strigosus"
"Austroglossus microlepis","Austroglossus microlepis"
"Austroglossus pectoralis","Austroglossus pectoralis"
"Austrolabrus maculatus","Austrolabrus maculatus"
"Auxis rochei","Auxis rochei"
"Auxis thazard","Auxis thazard"
"Awaous tajasica","Awaous tajasica"
"Axoclinus lucillae","Axoclinus lucillae"
"Bagre bagre","Bagre bagre"
"Bagre marinus","Bagre marinus"
"Bairdiella chrysoura","Bairdiella chrysoura"
"Bairdiella ronchus","Bairdiella ronchus"
"Balistapus undulatus","Balistapus undulatus"
"Balistes capriscus","Balistes capriscus"
"Balistes polylepis","Balistes polylepis"
"Balistes vetula","Balistes vetula"
"Balistoides conspicillum","Balistoides conspicillum"
"Balistoides viridescens","Balistoides viridescens"
"Barbodes katolo","Barbodes katolo"
"Barbonymus gonionotus","Barbonymus gonionotus"
"Barbourisia rufa","Barbourisia rufa"
"Barbulifer ceuthoecus","Barbulifer ceuthoecus"
"Bassanago albescens","Bassanago albescens"
"Bathygobius andrei","Bathygobius andrei"
"Bathygobius coalitus","Bathygobius coalitus"
"Bathygobius cocosensis","Bathygobius cocosensis"
"Bathygobius cotticeps","Bathygobius cotticeps"
"Bathygobius cyclopterus","Bathygobius cyclopterus"
"Bathygobius fuscus","Bathygobius fuscus"
"Bathygobius krefftii","Bathygobius krefftii"
"Bathygobius laddi","Bathygobius laddi"
"Bathygobius ramosus","Bathygobius ramosus"
"Bathygobius soporator","Bathygobius soporator"
"Bathylagus antarcticus","Bathylagus antarcticus"
"Bathyraja brachyurops","Bathyraja brachyurops"
"Bathyraja eatonii","Bathyraja eatonii"
"Bathyraja irrasa","Bathyraja irrasa"
"Bathyraja macloviana","Bathyraja macloviana"
"Bathyraja murrayi","Bathyraja murrayi"
"Bathyraja scaphiops","Bathyraja scaphiops"
"Bathystethus cultratus","Bathystethus cultratus"
"Bathytoshia brevicaudata","Bathytoshia brevicaudata"
"Bathytoshia centroura","Bathytoshia centroura"
"Bathytoshia lata","Bathytoshia lata"
"Bellator militaris","Bellator militaris"
"Belone belone","Belone belone"
"Belonepterygion fasciolatum","Belonepterygion fasciolatum"
"Belonoperca chabanaudi","Belonoperca chabanaudi"
"Benthalbella elongata","Benthalbella elongata"
"Benthosema pterotum","Benthosema pterotum"
"Beringraja binoculata","Beringraja binoculata"
"Beringraja rhina","Beringraja rhina"
"Beryx decadactylus","Beryx decadactylus"
"Beryx splendens","Beryx splendens"
"Blenniella bilitonensis","Blenniella bilitonensis"
"Blenniella caudolineata","Blenniella caudolineata"
"Blenniella chrysospilos","Blenniella chrysospilos"
"Blenniella gibbifrons","Blenniella gibbifrons"
"Blenniella interrupta","Blenniella interrupta"
"Blenniella paula","Blenniella paula"
"Blenniella periophthalmus","Blenniella periophthalmus"
"Blennodesmus scapularis","Blennodesmus scapularis"
"Bodianus albotaeniatus","Bodianus albotaeniatus"
"Bodianus anthioides","Bodianus anthioides"
"Bodianus axillaris","Bodianus axillaris"
"Bodianus bilunulatus","Bodianus bilunulatus"
"Bodianus diana","Bodianus diana"
"Bodianus dictynna","Bodianus dictynna"
"Bodianus diplotaenia","Bodianus diplotaenia"
"Bodianus eclancheri","Bodianus eclancheri"
"Bodianus frenchii","Bodianus frenchii"
"Bodianus loxozonus","Bodianus loxozonus"
"Bodianus macrognathos","Bodianus macrognathos"
"Bodianus macrourus","Bodianus macrourus"
"Bodianus mesothorax","Bodianus mesothorax"
"Bodianus opercularis","Bodianus opercularis"
"Bodianus perditio","Bodianus perditio"
"Bodianus prognathus","Bodianus prognathus"
"Bodianus pulchellus","Bodianus pulchellus"
"Bodianus rufus","Bodianus rufus"
"Bodianus scrofa","Bodianus scrofa"
"Bodianus speciosus","Bodianus speciosus"
"Bodianus unimaculatus","Bodianus unimaculatus"
"Bolbometopon muricatum","Bolbometopon muricatum"
"Bollmannia chlamydes","Bollmannia chlamydes"
"Boops boops","Boops boops"
"Boopsoidea inornata","Boopsoidea inornata"
"Boreogadus saida","Boreogadus saida"
"Borostomias antarcticus","Borostomias antarcticus"
"Bothragonus occidentalis","Bothragonus occidentalis"
"Bothus leopardinus","Bothus leopardinus"
"Bothus lunatus","Bothus lunatus"
"Bothus mancus","Bothus mancus"
"Bothus myriaster","Bothus myriaster"
"Bothus ocellatus","Bothus ocellatus"
"Bothus pantherinus","Bothus pantherinus"
"Bothus podas","Bothus podas"
"Bovichtus angustifrons","Bovichtus angustifrons"
"Bovichtus argentinus","Bovichtus argentinus"
"Bovichtus chilensis","Bovichtus chilensis"
"Brachaelurus waddi","Brachaelurus waddi"
"Brachaluteres jacksonianus","Brachaluteres jacksonianus"
"Brachaluteres taylori","Brachaluteres taylori"
"Brachydeuterus auritus","Brachydeuterus auritus"
"Brachyistius frenatus","Brachyistius frenatus"
"Brachysomophis crocodilinus","Brachysomophis crocodilinus"
"Brama australis","Brama australis"
"Brama brama","Brama brama"
"Brama japonica","Brama japonica"
"Bregmaceros mcclellandi","Bregmaceros mcclellandi"
"Brevoortia aurea","Brevoortia aurea"
"Brevoortia gunteri","Brevoortia gunteri"
"Brevoortia patronus","Brevoortia patronus"
"Brevoortia pectinata","Brevoortia pectinata"
"Brevoortia smithi","Brevoortia smithi"
"Brevoortia tyrannus","Brevoortia tyrannus"
"Brockius nigricinctus","Brockius nigricinctus"
"Brosme brosme","Brosme brosme"
"Brosmophyciops pautzkei","Brosmophyciops pautzkei"
"Brotula barbata","Brotula barbata"
"Brotula clarkae","Brotula clarkae"
"Brotula multibarbata","Brotula multibarbata"
"Bryaninops amplus","Bryaninops amplus"
"Bryaninops erythrops","Bryaninops erythrops"
"Bryaninops loki","Bryaninops loki"
"Bryaninops natans","Bryaninops natans"
"Bryaninops nexus","Bryaninops nexus"
"Bryaninops yongei","Bryaninops yongei"
"Buglossidium luteum","Buglossidium luteum"
"Cabillus tongarevae","Cabillus tongarevae"
"Caesio caerulaurea","Caesio caerulaurea"
"Caesio cuning","Caesio cuning"
"Caesio lunaris","Caesio lunaris"
"Caesio striata","Caesio striata"
"Caesio suevica","Caesio suevica"
"Caesio teres","Caesio teres"
"Caesio varilineata","Caesio varilineata"
"Caesio xanthonota","Caesio xanthonota"
"Caesioperca lepidoptera","Caesioperca lepidoptera"
"Caesioperca rasor","Caesioperca rasor"
"Caesioscorpis theagenes","Caesioscorpis theagenes"
"Caffrogobius nudiceps","Caffrogobius nudiceps"
"Calamus arctifrons","Calamus arctifrons"
"Calamus bajonado","Calamus bajonado"
"Calamus brachysomus","Calamus brachysomus"
"Calamus calamus","Calamus calamus"
"Calamus leucosteus","Calamus leucosteus"
"Calamus nodosus","Calamus nodosus"
"Calamus penna","Calamus penna"
"Calamus pennatula","Calamus pennatula"
"Calamus proridens","Calamus proridens"
"Calamus taurinus","Calamus taurinus"
"Callanthias allporti","Callanthias allporti"
"Callanthias australis","Callanthias australis"
"Callechelys catostoma","Callechelys catostoma"
"Callechelys marmorata","Callechelys marmorata"
"Calliclinus geniguttatus","Calliclinus geniguttatus"
"Callionymus bairdi","Callionymus bairdi"
"Callionymus enneactis","Callionymus enneactis"
"Callionymus lyra","Callionymus lyra"
"Callionymus maculatus","Callionymus maculatus"
"Callionymus simplicicornis","Callionymus simplicicornis"
"Callogobius depressus","Callogobius depressus"
"Callogobius hasseltii","Callogobius hasseltii"
"Callogobius maculipinnis","Callogobius maculipinnis"
"Callogobius mucosus","Callogobius mucosus"
"Callogobius sclateri","Callogobius sclateri"
"Calloplesiops altivelis","Calloplesiops altivelis"
"Callorhinchus callorynchus","Callorhinchus callorynchus"
"Callorhinchus capensis","Callorhinchus capensis"
"Callorhinchus milii","Callorhinchus milii"
"Calotomus carolinus","Calotomus carolinus"
"Calotomus japonicus","Calotomus japonicus"
"Calotomus spinidens","Calotomus spinidens"
"Calotomus viridescens","Calotomus viridescens"
"Calotomus zonarchus","Calotomus zonarchus"
"Calumia godeffroyi","Calumia godeffroyi"
"Campogramma glaycos","Campogramma glaycos"
"Candidia barbata","Candidia barbata"
"Cantherhines dumerilii","Cantherhines dumerilii"
"Cantherhines fronticinctus","Cantherhines fronticinctus"
"Cantherhines longicaudus","Cantherhines longicaudus"
"Cantherhines macrocerus","Cantherhines macrocerus"
"Cantherhines pardalis","Cantherhines pardalis"
"Cantherhines pullus","Cantherhines pullus"
"Cantherhines rapanui","Cantherhines rapanui"
"Cantherhines sandwichiensis","Cantherhines sandwichiensis"
"Cantherhines verecundus","Cantherhines verecundus"
"Cantheschenia grandisquamis","Cantheschenia grandisquamis"
"Canthidermis maculata","Canthidermis maculata"
"Canthidermis sufflamen","Canthidermis sufflamen"
"Canthigaster amboinensis","Canthigaster amboinensis"
"Canthigaster axiologus","Canthigaster axiologus"
"Canthigaster bennetti","Canthigaster bennetti"
"Canthigaster callisterna","Canthigaster callisterna"
"Canthigaster capistrata","Canthigaster capistrata"
"Canthigaster compressa","Canthigaster compressa"
"Canthigaster coronata","Canthigaster coronata"
"Canthigaster epilampra","Canthigaster epilampra"
"Canthigaster figueiredoi","Canthigaster figueiredoi"
"Canthigaster jactator","Canthigaster jactator"
"Canthigaster janthinoptera","Canthigaster janthinoptera"
"Canthigaster margaritata","Canthigaster margaritata"
"Canthigaster ocellicincta","Canthigaster ocellicincta"
"Canthigaster papua","Canthigaster papua"
"Canthigaster punctatissima","Canthigaster punctatissima"
"Canthigaster rivulata","Canthigaster rivulata"
"Canthigaster rostrata","Canthigaster rostrata"
"Canthigaster smithae","Canthigaster smithae"
"Canthigaster solandri","Canthigaster solandri"
"Canthigaster valentini","Canthigaster valentini"
"Caprodon longimanus","Caprodon longimanus"
"Capromimus abbreviatus","Capromimus abbreviatus"
"Capros aper","Capros aper"
"Caracanthus maculatus","Caracanthus maculatus"
"Caracanthus madagascariensis","Caracanthus madagascariensis"
"Caracanthus typicus","Caracanthus typicus"
"Caracanthus unipinna","Caracanthus unipinna"
"Carangoides armatus","Carangoides armatus"
"Carangoides bajad","Carangoides bajad"
"Carangoides bartholomaei","Caranx bartholomaei"
"Carangoides chrysophrys","Carangoides chrysophrys"
"Carangoides coeruleopinnatus","Carangoides coeruleopinnatus"
"Carangoides dinema","Carangoides dinema"
"Carangoides equula","Carangoides equula"
"Carangoides ferdau","Carangoides ferdau"
"Carangoides fulvoguttatus","Carangoides fulvoguttatus"
"Carangoides gymnostethus","Carangoides gymnostethus"
"Carangoides hedlandensis","Carangoides hedlandensis"
"Carangoides humerosus","Carangoides humerosus"
"Carangoides malabaricus","Carangoides malabaricus"
"Carangoides oblongus","Carangoides oblongus"
"Carangoides orthogrammus","Carangoides orthogrammus"
"Carangoides plagiotaenia","Carangoides plagiotaenia"
"Carangoides talamparoides","Carangoides talamparoides"
"Caranx bucculentus","Caranx bucculentus"
"Caranx caballus","Caranx caballus"
"Caranx caninus","Caranx caninus"
"Caranx crysos","Caranx crysos"
"Caranx heberi","Caranx heberi"
"Caranx hippos","Caranx hippos"
"Caranx ignobilis","Caranx ignobilis"
"Caranx latus","Caranx latus"
"Caranx lugubris","Caranx lugubris"
"Caranx melampygus","Caranx melampygus"
"Caranx papuensis","Caranx papuensis"
"Caranx rhonchus","Caranx rhonchus"
"Caranx ruber","Caranx ruber"
"Caranx senegallus","Caranx senegallus"
"Caranx sexfasciatus","Caranx sexfasciatus"
"Caranx tille","Caranx tille"
"Carapus bermudensis","Carapus bermudensis"
"Carassius carassius","Carassius carassius"
"Carcharhinus acronotus","Carcharhinus acronotus"
"Carcharhinus albimarginatus","Carcharhinus albimarginatus"
"Carcharhinus altimus","Carcharhinus altimus"
"Carcharhinus amblyrhynchos","Carcharhinus amblyrhynchos"
"Carcharhinus amboinensis","Carcharhinus amboinensis"
"Carcharhinus brachyurus","Carcharhinus brachyurus"
"Carcharhinus brevipinna","Carcharhinus brevipinna"
"Carcharhinus falciformis","Carcharhinus falciformis"
"Carcharhinus galapagensis","Carcharhinus galapagensis"
"Carcharhinus leucas","Carcharhinus leucas"
"Carcharhinus limbatus","Carcharhinus limbatus"
"Carcharhinus longimanus","Carcharhinus longimanus"
"Carcharhinus melanopterus","Carcharhinus melanopterus"
"Carcharhinus obscurus","Carcharhinus obscurus"
"Carcharhinus perezi","Carcharhinus perezii"
"Carcharhinus plumbeus","Carcharhinus plumbeus"
"Carcharhinus sealei","Carcharhinus sealei"
"Carcharhinus sorrah","Carcharhinus sorrah"
"Carcharias taurus","Carcharias taurus"
"Cathorops spixii","Cathorops spixii"
"Caulolatilus chrysops","Caulolatilus chrysops"
"Caulolatilus cyanops","Caulolatilus cyanops"
"Caulolatilus intermedius","Caulolatilus intermedius"
"Caulolatilus microps","Caulolatilus microps"
"Caulolatilus princeps","Caulolatilus princeps"
"Centriscops humerosus","Centriscops humerosus"
"Centriscus cristatus","Centriscus cristatus"
"Centriscus scutatus","Centriscus scutatus"
"Centroberyx affinis","Centroberyx affinis"
"Centroberyx gerrardi","Centroberyx gerrardi"
"Centroberyx lineatus","Centroberyx lineatus"
"Centrogenys vaigiensis","Centrogenys vaigiensis"
"Centrolabrus exoletus","Centrolabrus exoletus"
"Centrolabrus melanocercus","Centrolabrus melanocercus"
"Centrolophus niger","Centrolophus niger"
"Centrophorus granulosus","Centrophorus granulosus"
"Centrophorus lusitanicus","Centrophorus lusitanicus"
"Centrophorus squamosus","Centrophorus squamosus"
"Centropogon australis","Centropogon australis"
"Centropomus ensiferus","Centropomus ensiferus"
"Centropomus parallelus","Centropomus parallelus"
"Centropomus pectinatus","Centropomus pectinatus"
"Centropomus undecimalis","Centropomus undecimalis"
"Centropristis ocyurus","Centropristis ocyurus"
"Centropristis philadelphica","Centropristis philadelphica"
"Centropristis striata","Centropristis striata"
"Centropyge acanthops","Centropyge acanthops"
"Centropyge argi","Centropyge argi"
"Centropyge bicolor","Centropyge bicolor"
"Centropyge bispinosa","Centropyge bispinosa"
"Centropyge eibli","Centropyge eibli"
"Centropyge ferrugata","Centropyge ferrugata"
"Centropyge fisheri","Centropyge fisheri"
"Centropyge flavissima","Centropyge flavissima"
"Centropyge heraldi","Centropyge heraldi"
"Centropyge hotumatua","Centropyge hotumatua"
"Centropyge interrupta","Centropyge interrupta"
"Centropyge joculator","Centropyge joculator"
"Centropyge loriculus","Centropyge loriculus"
"Centropyge multispinis","Centropyge multispinis"
"Centropyge nox","Centropyge nox"
"Centropyge potteri","Centropyge potteri"
"Centropyge shepardi","Centropyge shepardi"
"Centropyge tibicen","Centropyge tibicen"
"Centropyge vrolikii","Centropyge vrolikii"
"Centroscyllium fabricii","Centroscyllium fabricii"
"Centroscymnus coelolepis","Centroscymnus coelolepis"
"Centroscymnus crepidater","Centroscymnus crepidater"
"Cephalopholis argus","Cephalopholis argus"
"Cephalopholis aurantia","Cephalopholis aurantia"
"Cephalopholis boenak","Cephalopholis boenak"
"Cephalopholis cruentata","Cephalopholis cruentata"
"Cephalopholis cyanostigma","Cephalopholis cyanostigma"
"Cephalopholis formosa","Cephalopholis formosa"
"Cephalopholis fulva","Cephalopholis fulva"
"Cephalopholis hemistiktos","Cephalopholis hemistiktos"
"Cephalopholis igarashiensis","Cephalopholis igarashiensis"
"Cephalopholis leopardus","Cephalopholis leopardus"
"Cephalopholis microprion","Cephalopholis microprion"
"Cephalopholis miniata","Cephalopholis miniata"
"Cephalopholis nigripinnis","Cephalopholis nigripinnis"
"Cephalopholis panamensis","Cephalopholis panamensis"
