"binomial","fb_name"
"Brycon orbignyanus","Brycon orbignyanus"
"Calophysus macropterus","Calophysus macropterus"
"Campylomormyrus numenius","Campylomormyrus numenius"
"Capoeta capoeta","Capoeta capoeta"
"Carangoides otrynter","Carangoides otrynter"
"Carassius gibelio","Carassius gibelio"
"Carcharhinus amblyrhynchoides","Carcharhinus amblyrhynchoides"
"Carcharhinus cautus","Carcharhinus cautus"
"Carcharhinus dussumieri","Carcharhinus dussumieri"
"Carcharhinus isodon","Carcharhinus isodon"
"Carlarius heudelotii","Carlarius heudelotii"
"Cataetyx laticeps","Cataetyx laticeps"
"Catostomus commersonii","Catostomus commersonii"
"Catostomus insignis","Catostomus insignis"
"Caulolatilus affinis","Caulolatilus affinis"
"Centracanthus cirrus","Centracanthus cirrus"
"Centrobranchus andreae","Centrobranchus andreae"
"Centrophorus harrissoni","Centrophorus harrissoni"
"Centrophorus moluccensis","Centrophorus moluccensis"
"Centrophorus tessellatus","Centrophorus tessellatus"
"Centropomus armatus","Centropomus armatus"
"Centropomus medius","Centropomus medius"
"Centropomus mexicanus","Centropomus mexicanus"
"Centropomus poeyi","Centropomus poeyi"
"Centropomus robalito","Centropomus robalito"
"Centroscyllium nigrum","Centroscyllium nigrum"
"Cephalopholis aitha","Cephalopholis aitha"
"Chaenophryne draco","Chaenophryne draco"
"Chaetodipterus lippei","Chaetodipterus lippei"
"Chanda nama","Chanda nama"
"Channa marulius","Channa marulius"
"Channa orientalis","Channa orientalis"
"Channa punctata","Channa punctata"
"Channa striata","Channa striata"
"Channallabes apus","Channallabes apus"
"Cheilopogon cyanopterus","Cheilopogon cyanopterus"
"Cheilopogon heterurus","Cheilopogon heterurus"
"Cheilopogon rapanouiensis","Cheilopogon rapanouiensis"
"Chela cachius","Chela cachius"
"Chelidonichthys obscurus","Chelidonichthys obscurus"
"Chelon dumerili","Chelon dumerili"
"Chilomycterus spinosus spinosus","Chilomycterus spinosus"
"Chiloscyllium caeruleopunctatum","Chiloscyllium caeruleopunctatum"
"Chirostoma aculeatum","Chirostoma aculeatum"
"Chitala chitala","Chitala chitala"
"Chitala lopis","Chitala lopis"
"Chlorophthalmus agassizi","Chlorophthalmus agassizi"
"Chondrostoma nasus","Chondrostoma nasus"
"Chriodorus atherinoides","Chriodorus atherinoides"
"Chromobotia macracanthus","Chromobotia macracanthus"
"Chrysichthys maurus","Chrysichthys maurus"
"Chrysichthys nigrodigitatus","Chrysichthys nigrodigitatus"
"Chrysichthys thysi","Chrysichthys thysi"
"Chrysoblephus cristiceps","Chrysoblephus cristiceps"
"Chrysoblephus puniceus","Chrysoblephus puniceus"
"Chrysochir aureus","Chrysochir aureus"
"Cirrhinus cirrhosus","Cirrhinus cirrhosus"
"Cirrhinus molitorella","Cirrhinus molitorella"
"Cirrhinus mrigala","Cirrhinus mrigala"
"Cirrhinus reba","Cirrhinus reba"
"Citharichthys stampflii","Citharichthys stampflii"
"Citharinus citharus","Citharinus citharus"
"Citharinus gibbosus","Citharinus gibbosus"
"Citharinus latus","Citharinus latus"
"Citharoides macrolepis","Citharoides macrolepis"
"Clariallabes attemsi","Clariallabes attemsi"
"Clarias anguillaris","Clarias anguillaris"
"Clarias batrachus","Clarias batrachus"
"Clarias buthupogon","Clarias buthupogon"
"Clarias gabonensis","Clarias gabonensis"
"Clarias gariepinus","Clarias gariepinus"
"Clarias macrocephalus","Clarias macrocephalus"
"Clarias ngamensis","Clarias ngamensis"
"Clarotes bidorsalis","Clarotes bidorsalis"
"Clupeoides borneensis","Clupeoides borneensis"
"Coelorinchus aconcagua","Coelorinchus aconcagua"
"Coilia mystus","Coilia mystus"
"Collichthys lucidus","Collichthys lucidus"
"Colossoma macropomum","Colossoma macropomum"
"Congresox talabon","Congresox talabon"
"Copadichromis virginalis","Copadichromis virginalis"
"Coptodon discolor","Coptodon discolor"
"Coptodon zillii","Coptodon zillii"
"Coregonus clupeaformis","Coregonus clupeaformis"
"Coregonus kiyi","Coregonus kiyi"
"Coregonus nilssoni","Coregonus nilssoni"
"Coregonus pollan","Coregonus pollan"
"Coryphaena equiselis","Coryphaena equiselis"
"Coryphaenoides acrolepis","Coryphaenoides acrolepis"
"Cosmochilus harmandi","Cosmochilus harmandi"
"Cotylopus acutipinnis","Cotylopus acutipinnis"
"Craterocephalus stramineus","Craterocephalus stramineus"
"Crossocheilus latius","Crossocheilus latius"
"Cryptopsaras couesii","Cryptopsaras couesii"
"Crystallogobius linearis","Crystallogobius linearis"
"Ctenopharyngodon idella","Ctenopharyngodon idella"
"Ctenopoma kingsleyae","Ctenopoma kingsleyae"
"Ctenopoma muriei","Ctenopoma muriei"
"Cyclocheilichthys apogon","Cyclocheilichthys apogon"
"Cynoglossus bilineatus","Cynoglossus bilineatus"
"Cynoglossus lingua","Cynoglossus lingua"
"Cynoglossus senegalensis","Cynoglossus senegalensis"
"Cynoponticus ferox","Cynoponticus ferox"
"Cynoponticus savanna","Cynoponticus savanna"
"Cynoscion othonopterus","Cynoscion othonopterus"
"Cynoscion parvipinnis","Cynoscion parvipinnis"
"Cynoscion xanthulus","Cynoscion xanthulus"
"Cyphomyrus discorhynchus","Cyphomyrus discorhynchus"
"Cyprinodon variegatus","Cyprinodon variegatus"
"Cyprinus acutidorsalis","Cyprinus acutidorsalis"
"Cyprinus rubrofuscus","Cyprinus rubrofuscus"
"Cypselurus opisthopus","Cypselurus opisthopus"
"Dagetichthys lusitanicus","Dagetichthys lusitanicus"
"Dalatias licha","Dalatias licha"
"Dalophis imberbis","Dalophis imberbis"
"Dasyatis tortonesei","Dasyatis tortonesei"
"Deania hystricosa","Deania hystricosa"
"Deania profundorum","Deania profundorum"
"Deltentosteus quadrimaculatus","Deltentosteus quadrimaculatus"
"Dentex barnardi","Dentex barnardi"
